"Player","pass_completion","KP","Min"
"Adam Webster","87.7","3","887"
"Jonas Urbig","81.1","0","720"
"Can Uzun","79.9","14","675"
"Andrea Pinamonti","62.8","15","2850"
"Gianluca Lapadula","60.3","3","310"
"Alfon","69.8","24","1371"
"Andreas Pereira","69.1","57","2013"
"Manolis Saliakas","71.8","26","2314"
"Mehdi Taremi","80.1","15","807"
"Ali Demb?l?","75.6","3","388"
"Lo?c Nego","75.1","13","2459"
"Alan Matturro","78","3","900"
"Moussa Niakhate","90.3","7","2726"
"Mandela Keita","90.5","15","1826"
"Akor Adams","62.6","12","1075"
"Renato Veiga","88","2","1093"
"Guido Rodr?guez","84.4","4","1149"
"Martin Erlic","91.7","0","334"
"Diego Rico","67.6","36","2819"
"Pau Navarro","89.6","1","916"
"Maximilian Eggestein","83.5","19","2845"
"Tim Siersleben","80.8","6","1182"
"Emre Can","89.5","8","2105"
"Keinan Davis","75.6","20","1066"
"Kevin Trapp","73.2","0","2295"
"I?igo Mart?nez","91","16","2490"
"Rodrigo Muniz","64.8","7","964"
"Oriol Romeu","90.4","8","1356"
"Junior Sambia","68.1","6","387"
"Mikel Oyarzabal","73.5","15","2250"
"Aleksandar Pavlovic","93.3","7","1451"
"Tim Skarke","70","16","1164"
"Benjamin Bouchouari","86.7","16","1772"
"Wes Burns","60.5","10","926"
"Leo Rom?n","57.1","0","630"
"Antonio S?nchez","72.8","5","1395"
"Jack Clarke","76.8","28","1181"
"Paul Onuachu","60.8","8","1050"
"Romain Perraud","79.6","16","2002"
"Mattia Viti","80.2","5","2572"
"Carl Starfelt","93.7","6","2270"
"Warren Za?re-Emery","92.8","18","2050"
"Patrik Carlgren","65.7","0","417"
"Ruben Aguilar","80.3","11","1124"
"Nicol? Fagioli","88.5","4","571"
"Mohamed Ali Cho","70.3","30","1621"
"Djibril Sow","88.8","21","2062"
"Nick Pope","73.5","1","2520"
"Yukinari Sugawara","80","17","1557"
"Issiaga Sylla","77.3","7","1156"
"Suso","74","22","606"
"Romain Faivre","82.1","10","899"
"Castello Lukeba","85.1","4","1577"
"Borja Mayoral","77.6","8","1114"
"Johan Manzambi","75.5","3","335"
"Gvidas Gineitis","74.7","21","1430"
"Sidiki Cherif","53.2","2","324"
"Kevin Danso","85.6","6","1080"
"Viktor Tsyhankov","74.2","33","1913"
"Federico Ravaglia","78.4","1","1056"
"Ridle Baku","75.2","14","1275"
"Nediljko Labrovi?","70.2","0","1350"
"Abde Ezzalzouli","71.6","27","1984"
"Jean Butez","78.2","1","1666"
"Catena","83.8","10","3074"
"Lucas Mart?nez Quarta","88.6","1","351"
"Marcos Alonso","89.2","21","2647"
"Nuno Mendes","86.9","30","1676"
"Valentin Atangana Edoa","86","12","2854"
"Kilian Fischer","78.6","12","2297"
"Dean Henderson","61.3","3","3420"
"Giuliano Simeone","75.5","24","1926"
"Robert Wagner","75.4","0","407"
"Riccardo Calafiori","85.6","6","983"
