"Player","pass_completion","KP","Min"
"Bryan Cristante","82.3","18","2045"
"Hugo Sotelo","85.8","19","1254"
"Juan Jesus","89.6","1","1074"
"Jackson Irvine","70.6","32","2610"
"Oier Zarraga","82.4","6","896"
"Melvin Bard","77.4","15","1938"
"Francisco Perez","73.5","7","570"
"Tom Krau?","80","12","1077"
"Tom?? ?van?ara","71.5","6","831"
"Christian Gytkj?r","55.4","7","754"
"Elif Elmas","80.4","9","1021"
"Florian Sotoca","73.5","18","1794"
"Paulo Dybala","81.8","40","1417"
"Marc Roca","86.4","12","906"
"Luis D?az","84.2","56","2399"
"Maxence Caqueret","79.9","10","573"
"Henrique","85.8","2","352"
"Sebastiaan Bornauw","81.8","1","788"
"Adam Smith","75.7","8","1590"
"Juan Soriano","53","0","540"
"Mathias Jensen","74.7","16","862"
"Andr? Silva","70.7","5","375"
"Yanis Zouaoui","68.6","28","976"
"Nicolas Viola","63.1","28","1267"
"Victor Lindel?f","93.8","3","704"
"Ruben Loftus-Cheek","89.7","16","1037"
"Christos Mandas","71.6","0","810"
"Jonny Evans","88.5","0","315"
"Amine Harit","83.5","19","519"
"Antoine Griezmann","74.8","48","2469"
"Keita Bald?","89.2","4","638"
"Mateus Fernandes","79.9","34","2909"
"Souleymane Tour?","91.7","2","733"
"?rjan Nyland","63.3","4","2673"
"Pol Lozano","83.8","17","1943"
"Koke","88","16","1926"
"Karim Adeyemi","74.3","28","1433"
"Shavy Babicka","67.1","13","1186"
"Ridgeciano Haps","77.7","7","1369"
"Christantus Uche","65.4","29","2486"
"Max Rosenfelder","85.3","5","1249"
"Leon Goretzka","89.9","12","1325"
"N?lson Semedo","80.8","25","2886"
"Phil Harres","56.6","10","1544"
"Abdoulaye Niakhate Ndiaye","86.4","1","1707"
"Sandro Ram?rez","64.2","28","2034"
"Dennis Man","79.6","45","1995"
"Cody Gakpo","75.7","38","1935"
"Frans Kr?tzig","75.9","28","1217"
"Marko Arnautovi?","71.5","7","527"
"Theo Hern?ndez","83.8","47","2696"
"Isma?l Bennacer","91","13","646"
"Ivan Smol?i?","83","2","630"
"Cristiano Biraghi","83.8","6","433"
"Maxime Bernauer","88.1","1","763"
"Arthur Desmas","78.7","1","1620"
"Giangiacomo Magnani","80.7","1","1065"
"Douglas Luiz","86.5","15","529"
"R?ben Dias","93.5","5","2271"
"Anuar","81.4","7","1720"
"Omar Mascarell","84","3","1992"
"Dani Ceballos","94.3","22","1215"
"Maximilian Wittek","70.6","46","2706"
"Armando Izzo","87.9","11","2435"
"Dilane Bakwa","72.9","47","2497"
"Lewis Miley","88","1","313"
"Tijjani Noslin","75","12","861"
"Felix Nmecha","87.9","14","1509"
"Nampalys Mendy","89.7","1","588"
"Andy Diouf","79.5","33","2225"
"Sorba Thomas","65.5","36","1321"
"Leandro Trossard","74.5","41","2546"
"Joris Chotard","81.8","7","1892"
"Lo?c Bade","85.7","4","2686"
"Sergio Camello","78.7","19","1134"
"Pep Chavarr?a","79.7","24","2585"
"Jonathan Ikone","84.3","2","334"
"Yarek Gasiorowski","80.3","3","947"
"Matteo Cancellieri","67.4","11","1424"
"Daniel Fila","77.8","6","492"
"Vladim?r Coufal","78.6","8","1067"
"Wilfred Ndidi","80.3","17","2324"
"Timothy Weah","83.7","19","1638"
"Amine Adli","74.2","11","766"
"Dodi Lukebakio","74.1","54","3092"
"Marco Carnesecchi","75","1","3060"
"Nicol? Zaniolo","83.3","7","356"
"Deniz Undav","73.2","26","1726"
"Ederson","87.9","4","2320"
"Reda Belahyane","83.7","16","1658"
"Granit Xhaka","89.7","50","2888"
"Aitor Ruibal","80.9","20","1313"
"Nicol?s Dom?nguez","86.7","13","1963"
"Ra?l Albiol","89.4","0","1188"
"Jonas Martin","88.8","3","496"
"Jeremy Agbonifo","72.5","3","300"
"Abdel Abqar","76.6","8","2463"
"Leonardo Spinazzola","79.3","26","1517"
"Shuto Machino","64.2","27","1953"
"Anton?n Kinsk?","77","1","540"
"Iker Mu?oz","78.9","6","610"
"Pedri","87.4","70","2879"
"Aaron Wan-Bissaka","81.1","33","3154"
"Facundo Buonanotte","76.4","24","1523"
"Tete Morente","74.8","25","2021"
"Giovani Lo Celso","79","43","1457"
